time,equity
2026-03-01 23:00:00+00:00,100000.0
2026-03-01 23:01:00+00:00,100000.0
2026-03-01 23:02:00+00:00,100000.0
2026-03-01 23:03:00+00:00,100000.0
2026-03-01 23:05:00+00:00,100000.0
2026-03-01 23:06:00+00:00,100000.0
2026-03-01 23:07:00+00:00,100000.0
2026-03-01 23:08:00+00:00,100000.0
2026-03-01 23:09:00+00:00,100000.0
2026-03-01 23:10:00+00:00,100000.0
2026-03-01 23:11:00+00:00,100000.0
2026-03-01 23:12:00+00:00,100000.0
2026-03-01 23:13:00+00:00,100000.0
2026-03-01 23:14:00+00:00,100000.0
2026-03-01 23:15:00+00:00,100000.0
2026-03-01 23:16:00+00:00,100000.0
2026-03-01 23:17:00+00:00,100000.0
2026-03-01 23:18:00+00:00,100000.0
2026-03-01 23:19:00+00:00,100000.0
2026-03-01 23:20:00+00:00,100000.0
2026-03-01 23:21:00+00:00,100000.0
2026-03-01 23:22:00+00:00,100000.0
2026-03-01 23:23:00+00:00,100000.0
2026-03-01 23:24:00+00:00,100000.0
2026-03-01 23:25:00+00:00,100000.0
2026-03-01 23:26:00+00:00,100000.0
2026-03-01 23:27:00+00:00,100000.0
2026-03-01 23:28:00+00:00,100000.0
2026-03-01 23:29:00+00:00,100000.0
2026-03-01 23:30:00+00:00,100000.0
2026-03-01 23:31:00+00:00,100000.0
2026-03-01 23:32:00+00:00,100000.0
2026-03-01 23:33:00+00:00,100000.0
2026-03-01 23:34:00+00:00,100000.0
2026-03-01 23:35:00+00:00,100000.0
2026-03-01 23:36:00+00:00,100000.0
2026-03-01 23:37:00+00:00,100000.0
2026-03-01 23:38:00+00:00,100000.0
2026-03-01 23:39:00+00:00,100000.0
2026-03-01 23:40:00+00:00,100000.0
2026-03-01 23:41:00+00:00,100000.0
