train_start,train_end,test_start,test_end,train_trades,train_return,train_pf,train_avg_r,train_dd,test_trades,test_return,test_pf,test_avg_r,test_dd
2025-08-01 00:00:00+00:00,2025-09-12 00:00:00+00:00,2025-09-12 00:00:00+00:00,2025-09-26 00:00:00+00:00,2,0.013145996324999576,3.2358568620226675,1.2868727238045834,-0.011524819136417452,1,0.01591712219999919,inf,3.049424319011237,-0.005405297642000706
2025-08-15 00:00:00+00:00,2025-09-26 00:00:00+00:00,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2,0.010054911899999075,2.742646590878271,0.9889680870642765,-0.011524939017433788,0,0.0,,,0.0
2025-08-29 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-10-24 00:00:00+00:00,2,0.010054911899999075,2.742646590878271,0.9889680870642765,-0.011524939017433788,7,0.008844582774990783,1.3207539283069543,0.24770274621410496,-0.023569732632770624
2025-09-12 00:00:00+00:00,2025-10-24 00:00:00+00:00,2025-10-24 00:00:00+00:00,2025-11-07 00:00:00+00:00,8,0.02490230792498993,1.888951654422218,0.5979179428137464,-0.023569976662223158,8,0.02511779867499886,1.9008119111198116,0.6011721931009246,-0.023155640650332376
2025-09-26 00:00:00+00:00,2025-11-07 00:00:00+00:00,2025-11-07 00:00:00+00:00,2025-11-21 00:00:00+00:00,15,0.034184494724989856,1.6136719872902692,0.436219784553742,-0.023569732632770624,5,-0.006530641400006476,0.7059674241199071,-0.24424475843375787,-0.02192385311818068
2025-10-10 00:00:00+00:00,2025-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,2025-12-05 00:00:00+00:00,20,0.027430735224983183,1.3486590957438314,0.26610364880686704,-0.029553778673134135,7,-0.005111928300002955,0.7689816638959982,-0.134583898474218,-0.026978369806955116
2025-10-24 00:00:00+00:00,2025-12-05 00:00:00+00:00,2025-12-05 00:00:00+00:00,2025-12-19 00:00:00+00:00,21,0.007638752074987654,1.0969802465966016,0.07621468460755042,-0.03989450669175554,3,0.007974439399990763,1.6975099096217623,0.5299036808693423,-0.020594999889349985
2025-11-07 00:00:00+00:00,2025-12-19 00:00:00+00:00,2025-12-19 00:00:00+00:00,2026-01-02 00:00:00+00:00,16,-0.00921330395002018,0.8486505177570756,-0.10119738284005075,-0.045629554735950095,3,-0.01679431240001028,0.0,-1.0592351117706125,-0.019239360198968325
2025-11-21 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-02 00:00:00+00:00,2026-01-16 00:00:00+00:00,13,-0.01402008122502263,0.721510729433607,-0.19462166015564125,-0.040334188486175204,5,-0.006672312825009574,0.6996340633333772,-0.25409162149406456,-0.027191416255423095
2025-12-05 00:00:00+00:00,2026-01-16 00:00:00+00:00,2026-01-16 00:00:00+00:00,2026-01-30 00:00:00+00:00,11,-0.015566420225029187,0.690996182856836,-0.2598593091067393,-0.027191455749977722,5,-0.0030023053250046727,0.8634471812182665,-0.10804507740007434,-0.018263260395323444
2025-12-19 00:00:00+00:00,2026-01-30 00:00:00+00:00,2026-01-30 00:00:00+00:00,2026-02-13 00:00:00+00:00,13,-0.026285979900024237,0.5626869340202365,-0.3837222176755792,-0.03831679765731011,10,0.032375726974988916,2.01504422123424,0.6280026441200939,-0.04189258066081625
2026-01-02 00:00:00+00:00,2026-02-13 00:00:00+00:00,2026-02-13 00:00:00+00:00,2026-02-27 00:00:00+00:00,20,0.022407576949974972,1.2962282408206602,0.22346714733651227,-0.06722184387974461,11,0.03165359974998738,1.8203163788598236,0.5651309985593672,-0.03698819057766434
2026-01-16 00:00:00+00:00,2026-02-27 00:00:00+00:00,2026-02-27 00:00:00+00:00,2026-03-13 00:00:00+00:00,26,0.061854312424971525,1.6615141341216053,0.45985546301360014,-0.054022510831137516,9,0.0035268098749878796,1.1073658500820862,0.0797183646140603,-0.03382924441734725
2026-01-30 00:00:00+00:00,2026-03-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,2026-03-27 00:00:00+00:00,30,0.06880880352496321,1.6447718862836318,0.44046442356268395,-0.0426976316895743,9,0.055979804649983755,2.9729526265113053,1.1815860671295946,-0.023145429910223836
